"kodewilayah","provinsi","kabupatenkota","kecamatan"
110101,"Aceh","Kab. Aceh Selatan","Bakongan"
110102,"Aceh","Kab. Aceh Selatan","Kluet Utara"
110103,"Aceh","Kab. Aceh Selatan","Kluet Selatan"
110104,"Aceh","Kab. Aceh Selatan","Labuhan Haji"
110105,"Aceh","Kab. Aceh Selatan","Meukek"
110106,"Aceh","Kab. Aceh Selatan","Samadua"
110107,"Aceh","Kab. Aceh Selatan","Sawang"
110108,"Aceh","Kab. Aceh Selatan","Tapaktuan"
110109,"Aceh","Kab. Aceh Selatan","Trumon"
110110,"Aceh","Kab. Aceh Selatan","Pasi Raja"
110111,"Aceh","Kab. Aceh Selatan","Labuhan Haji Timur"
110112,"Aceh","Kab. Aceh Selatan","Labuhan Haji Barat"
110113,"Aceh","Kab. Aceh Selatan","Kluet Tengah"
110114,"Aceh","Kab. Aceh Selatan","Kluet Timur"
110115,"Aceh","Kab. Aceh Selatan","Bakongan Timur"
110116,"Aceh","Kab. Aceh Selatan","Trumon Timur"
110117,"Aceh","Kab. Aceh Selatan","Kota Bahagia"
110118,"Aceh","Kab. Aceh Selatan","Trumon Tengah"
110201,"Aceh","Kab. Aceh Tenggara","Lawe Alas"
110202,"Aceh","Kab. Aceh Tenggara","Lawe Sigala-Gala"
110203,"Aceh","Kab. Aceh Tenggara","Bambel"
110204,"Aceh","Kab. Aceh Tenggara","Babussalam"
110205,"Aceh","Kab. Aceh Tenggara","Badar"
110206,"Aceh","Kab. Aceh Tenggara","Babul Makmur"
110207,"Aceh","Kab. Aceh Tenggara","Darul Hasanah"
110208,"Aceh","Kab. Aceh Tenggara","Lawe Bulan"
110209,"Aceh","Kab. Aceh Tenggara","Bukit Tusam"
110210,"Aceh","Kab. Aceh Tenggara","Semadam"
110211,"Aceh","Kab. Aceh Tenggara","Babul Rahmah"
110212,"Aceh","Kab. Aceh Tenggara","Ketambe"
110213,"Aceh","Kab. Aceh Tenggara","Deleng Pokhkisen"
110214,"Aceh","Kab. Aceh Tenggara","Lawe Sumur"
110215,"Aceh","Kab. Aceh Tenggara","Tanoh Alas"
110216,"Aceh","Kab. Aceh Tenggara","Leuser"
110301,"Aceh","Kab. Aceh Timur","Darul Aman"
110302,"Aceh","Kab. Aceh Timur","Julok"
110303,"Aceh","Kab. Aceh Timur","Idi Rayeuk"
110304,"Aceh","Kab. Aceh Timur","Birem Bayeun"
110305,"Aceh","Kab. Aceh Timur","Serbajadi"
110306,"Aceh","Kab. Aceh Timur","Nurussalam"
110307,"Aceh","Kab. Aceh Timur","Peureulak"
110308,"Aceh","Kab. Aceh Timur","Rantau Selamat"
110309,"Aceh","Kab. Aceh Timur","Simpang Ulim"
110310,"Aceh","Kab. Aceh Timur","Rantau Peureulak"
110311,"Aceh","Kab. Aceh Timur","Pante Bidari"
110312,"Aceh","Kab. Aceh Timur","Madat"
110313,"Aceh","Kab. Aceh Timur","Indra Makmu"
110314,"Aceh","Kab. Aceh Timur","Idi Tunong"
110315,"Aceh","Kab. Aceh Timur","Banda Alam"
110316,"Aceh","Kab. Aceh Timur","Peudawa"
110317,"Aceh","Kab. Aceh Timur","Peureulak Timur"
110318,"Aceh","Kab. Aceh Timur","Peureulak Barat"
110319,"Aceh","Kab. Aceh Timur","Sungai Raya"
110320,"Aceh","Kab. Aceh Timur","Simpang Jernih"
110321,"Aceh","Kab. Aceh Timur","Darul Ihsan"
110322,"Aceh","Kab. Aceh Timur","Darul Falah"
110323,"Aceh","Kab. Aceh Timur","Idi Timur"
110324,"Aceh","Kab. Aceh Timur","Peunaron"
110401,"Aceh","Kab. Aceh Tengah","Linge"
110402,"Aceh","Kab. Aceh Tengah","Silih Nara"
110403,"Aceh","Kab. Aceh Tengah","Bebesen"
110407,"Aceh","Kab. Aceh Tengah","Pegasing"
110408,"Aceh","Kab. Aceh Tengah","Bintang"
110410,"Aceh","Kab. Aceh Tengah","Ketol"
110411,"Aceh","Kab. Aceh Tengah","Kebayakan"
110412,"Aceh","Kab. Aceh Tengah","Kute Panang"
110413,"Aceh","Kab. Aceh Tengah","Celala"
110417,"Aceh","Kab. Aceh Tengah","Laut Tawar"
110418,"Aceh","Kab. Aceh Tengah","Atu Lintang"
110419,"Aceh","Kab. Aceh Tengah","Jagong Jeget"
110420,"Aceh","Kab. Aceh Tengah","Bies"
110421,"Aceh","Kab. Aceh Tengah","Rusip Antara"
110501,"Aceh","Kab. Aceh Barat","1Johan Pahwalan"
110502,"Aceh","Kab. Aceh Barat","2Kaway XVI"
110503,"Aceh","Kab. Aceh Barat","3Sungai Mas"
110504,"Aceh","Kab. Aceh Barat","4Woyla"
110505,"Aceh","Kab. Aceh Barat","5Samatiga"
110506,"Aceh","Kab. Aceh Barat","6Bubon"
110507,"Aceh","Kab. Aceh Barat","7Arongan Lambalek"
110508,"Aceh","Kab. Aceh Barat","8Pante Ceureumen"
110509,"Aceh","Kab. Aceh Barat","9Meureubo"
110510,"Aceh","Kab. Aceh Barat","10Woyla Barat"
110511,"Aceh","Kab. Aceh Barat","11Woyla Timur"
110512,"Aceh","Kab. Aceh Barat","12Panton Reu"
110601,"Aceh","Kab. Aceh Besar","1Lhoong"
110602,"Aceh","Kab. Aceh Besar","2Lhoknga"
110603,"Aceh","Kab. Aceh Besar","3Indrapuri"
110604,"Aceh","Kab. Aceh Besar","4Seulimeum"
110605,"Aceh","Kab. Aceh Besar","5Montasik"
110606,"Aceh","Kab. Aceh Besar","6Sukamakmur"
110607,"Aceh","Kab. Aceh Besar","7Darul Imarah"
110608,"Aceh","Kab. Aceh Besar","8Peukan Bada"
110609,"Aceh","Kab. Aceh Besar","9Mesjid Raya"
110610,"Aceh","Kab. Aceh Besar","10Ingin Jaya"
110611,"Aceh","Kab. Aceh Besar","11Kuta Baro"
110612,"Aceh","Kab. Aceh Besar","12Darussalam"
110613,"Aceh","Kab. Aceh Besar","13Pulo Aceh"
110614,"Aceh","Kab. Aceh Besar","14Lembah Seulawah"
110615,"Aceh","Kab. Aceh Besar","15Kota Jantho"
110616,"Aceh","Kab. Aceh Besar","16Kota Cot Glie"
110617,"Aceh","Kab. Aceh Besar","17Kuta Malaka"
110618,"Aceh","Kab. Aceh Besar","18Simpang Tiga"
110619,"Aceh","Kab. Aceh Besar","19Darul Kamal"
110620,"Aceh","Kab. Aceh Besar","20Baitussalam"
110621,"Aceh","Kab. Aceh Besar","21Krueng Barona Jaya"
110622,"Aceh","Kab. Aceh Besar","22Leupung"
110623,"Aceh","Kab. Aceh Besar","23Blang Bintang"
110703,"Aceh","Kab. Pidie","1Batee"
110704,"Aceh","Kab. Pidie","2Delima"
110705,"Aceh","Kab. Pidie","3Geumpang"
110706,"Aceh","Kab. Pidie","4Geulumpang Tiga"
110707,"Aceh","Kab. Pidie","5Indra Jaya"
110708,"Aceh","Kab. Pidie","6Kembang Tanjong"
110709,"Aceh","Kab. Pidie","7Kota Sigli"
110711,"Aceh","Kab. Pidie","8Mila"
110712,"Aceh","Kab. Pidie","9Muara Tiga"
110713,"Aceh","Kab. Pidie","10Mutiara"
110714,"Aceh","Kab. Pidie","11Padang Tiji"
110715,"Aceh","Kab. Pidie","12Peukan Baro"
110716,"Aceh","Kab. Pidie","13Pidie"
110717,"Aceh","Kab. Pidie","14Sakti"
110718,"Aceh","Kab. Pidie","15Simpang Tiga"
110719,"Aceh","Kab. Pidie","16Tangse"
110721,"Aceh","Kab. Pidie","17Tiro/Truseb"
110722,"Aceh","Kab. Pidie","18Keumala"
110724,"Aceh","Kab. Pidie","19Mutiara Timur"
110725,"Aceh","Kab. Pidie","20Grong-grong"
110727,"Aceh","Kab. Pidie","21Mane"
110729,"Aceh","Kab. Pidie","22Glumpang Baro"
110731,"Aceh","Kab. Pidie","23Titeue"
110801,"Aceh","Kab. Aceh Utara","1Baktiya"
110802,"Aceh","Kab. Aceh Utara","2Dewantara"
110803,"Aceh","Kab. Aceh Utara","3Kuta Makmur"
110804,"Aceh","Kab. Aceh Utara","4Lhoksukon"
110805,"Aceh","Kab. Aceh Utara","5Matangkuli"
110806,"Aceh","Kab. Aceh Utara","6Muara Batu"
110807,"Aceh","Kab. Aceh Utara","7Meurah Mulia"
110808,"Aceh","Kab. Aceh Utara","8Samudera"
110809,"Aceh","Kab. Aceh Utara","9Seunuddon"
110810,"Aceh","Kab. Aceh Utara","10Syamtalira Aron"
110811,"Aceh","Kab. Aceh Utara","11Syamtalira Bayu"
110812,"Aceh","Kab. Aceh Utara","12Tanah Luas"
110813,"Aceh","Kab. Aceh Utara","13Tanah Pasir"
110814,"Aceh","Kab. Aceh Utara","14T. Jambo Aye"
110815,"Aceh","Kab. Aceh Utara","15Sawang"
110816,"Aceh","Kab. Aceh Utara","16Nisam"
110817,"Aceh","Kab. Aceh Utara","17Cot Girek"
110818,"Aceh","Kab. Aceh Utara","18Langkahan"
110819,"Aceh","Kab. Aceh Utara","19Baktiya Barat"
110820,"Aceh","Kab. Aceh Utara","20Paya Bakong"
110821,"Aceh","Kab. Aceh Utara","21Nibong"
110822,"Aceh","Kab. Aceh Utara","22Simpang Kramat"
110823,"Aceh","Kab. Aceh Utara","23Lapang"
110824,"Aceh","Kab. Aceh Utara","24Pirak Timur"
110825,"Aceh","Kab. Aceh Utara","25Geuredong Pase"
110826,"Aceh","Kab. Aceh Utara","26Banda Baro"
110827,"Aceh","Kab. Aceh Utara","27Nisam Antara"
110901,"Aceh","Kab. Simeulue","1Simeulue Tengah"
110902,"Aceh","Kab. Simeulue","2Salang"
110903,"Aceh","Kab. Simeulue","3Teupah Barat"
110904,"Aceh","Kab. Simeulue","4Simeulue Timur"
110905,"Aceh","Kab. Simeulue","5Teluk Dalam"
110906,"Aceh","Kab. Simeulue","6Simeulue Barat"
110907,"Aceh","Kab. Simeulue","7Teupah Selatan"
110908,"Aceh","Kab. Simeulue","8Alapan"
110909,"Aceh","Kab. Simeulue","9Teupah Tengah"
110910,"Aceh","Kab. Simeulue","10Simeulue Cut"
111001,"Aceh","Kab. Aceh Singkil","1Pulau Banyak"
111002,"Aceh","Kab. Aceh Singkil","2Simpang Kanan"
111004,"Aceh","Kab. Aceh Singkil","3Singkil"
111006,"Aceh","Kab. Aceh Singkil","4Gunung Meriah"
111009,"Aceh","Kab. Aceh Singkil","5Kota Baharu"
111010,"Aceh","Kab. Aceh Singkil","6Singkil Utara"
111011,"Aceh","Kab. Aceh Singkil","7Danau Paris"
111012,"Aceh","Kab. Aceh Singkil","8Suro Makmur"
111013,"Aceh","Kab. Aceh Singkil","9Singkohor"
111014,"Aceh","Kab. Aceh Singkil","10Kuala Baru"
111016,"Aceh","Kab. Aceh Singkil","11Pulau Banyak Barat"
111101,"Aceh","Kab. Bireuen","1Samalanga"
111102,"Aceh","Kab. Bireuen","2Jeunieb"
111103,"Aceh","Kab. Bireuen","3Peudada"
111104,"Aceh","Kab. Bireuen","4Jeumpa"
111105,"Aceh","Kab. Bireuen","5Peusangan"
111106,"Aceh","Kab. Bireuen","6Makmur"
111107,"Aceh","Kab. Bireuen","7Gandapura"
111108,"Aceh","Kab. Bireuen","8Pandrah"
111109,"Aceh","Kab. Bireuen","9Juli"
111110,"Aceh","Kab. Bireuen","10Jangka"
111111,"Aceh","Kab. Bireuen","11Simpang Mamplam"
111112,"Aceh","Kab. Bireuen","12Peulimbang"
111113,"Aceh","Kab. Bireuen","13Kota Juang"
111114,"Aceh","Kab. Bireuen","14Kuala"
111115,"Aceh","Kab. Bireuen","15Peusangan Siblah Krueng"
111116,"Aceh","Kab. Bireuen","16Peusangan Selatan"
111117,"Aceh","Kab. Bireuen","17Kuta Blang"
111201,"Aceh"," ","1Blang Pidie"
111202,"Aceh","Kab. Aceh Barat Daya","2Tangan-Tangan"
111203,"Aceh","Kab. Aceh Barat Daya","3Manggeng"
111204,"Aceh","Kab. Aceh Barat Daya","4Susoh"
111205,"Aceh","Kab. Aceh Barat Daya","5Kuala Batee"
111206,"Aceh","Kab. Aceh Barat Daya","6Babah Rot"
111207,"Aceh","Kab. Aceh Barat Daya","7Setia"
111208,"Aceh","Kab. Aceh Barat Daya","8Jeumpa"
111209,"Aceh","Kab. Aceh Barat Daya","9Lembah Sabil"
111301,"Aceh","Kab. Gayo Lues","Blangkejeren"
111302,"Aceh","Kab. Gayo Lues","Kutapanjang"
111303,"Aceh","Kab. Gayo Lues","Rikit Gaib"
111304,"Aceh","Kab. Gayo Lues","Terangun"
111305,"Aceh","Kab. Gayo Lues","Pining"
111306,"Aceh","Kab. Gayo Lues","Blangpegayon"
111307,"Aceh","Kab. Gayo Lues","Puteri Betung"
111308,"Aceh","Kab. Gayo Lues","Dabun Gelang"
111309,"Aceh","Kab. Gayo Lues","Blangjerango"
111310,"Aceh","Kab. Gayo Lues","Teripe Jaya"
111311,"Aceh","Kab. Gayo Lues","Pantan Cuaca"
111401,"Aceh","Kab. Aceh Jaya","Teunom"
111402,"Aceh","Kab. Aceh Jaya","Krueng Sabee"
111403,"Aceh","Kab. Aceh Jaya","Setia Bhakti"
111404,"Aceh","Kab. Aceh Jaya","Sampoiniet"
111405,"Aceh","Kab. Aceh Jaya","Jaya"
111406,"Aceh","Kab. Aceh Jaya","Keude Panga"
111407,"Aceh","Kab. Aceh Jaya","Indra Jaya"
111408,"Aceh","Kab. Aceh Jaya","Darul Hikmah"
111409,"Aceh","Kab. Aceh Jaya","Pasie Raya"
111501,"Aceh","Kab. Nagan Raya","Kuala"
111502,"Aceh","Kab. Nagan Raya","Seunagan"
111503,"Aceh","Kab. Nagan Raya","Seunagan Timur"
111504,"Aceh","Kab. Nagan Raya","Beutong"
111505,"Aceh","Kab. Nagan Raya","Darul Makmur"
111506,"Aceh","Kab. Nagan Raya","Suka Makmue"
111507,"Aceh","Kab. Nagan Raya","Kuala Pesisir"
111508,"Aceh","Kab. Nagan Raya","Tadu Raya"
111509,"Aceh","Kab. Nagan Raya","Tripa Makmur"
111510,"Aceh","Kab. Nagan Raya","Beutong Ateuh Banggalang"
111601,"Aceh","Kab. Aceh Tamiang","Manyak Payed"
111602,"Aceh","Kab. Aceh Tamiang","Bendahara"
111603,"Aceh","Kab. Aceh Tamiang","Karang Baru"
111604,"Aceh","Kab. Aceh Tamiang","Seruway"
111605,"Aceh","Kab. Aceh Tamiang","Kota Kualasinpang"
111606,"Aceh","Kab. Aceh Tamiang","Kejuruan Muda"
111607,"Aceh","Kab. Aceh Tamiang","Tamiang Hulu"
111608,"Aceh","Kab. Aceh Tamiang","Rantau"
111609,"Aceh","Kab. Aceh Tamiang","Banda Mulia"
111610,"Aceh","Kab. Aceh Tamiang","Bandar Pusaka"
111611,"Aceh","Kab. Aceh Tamiang","Tenggulun"
111612,"Aceh","Kab. Aceh Tamiang","Sekerak"
111701,"Aceh","Kab. Bener Meriah","Pintu Rime Gayo"
111702,"Aceh","Kab. Bener Meriah","Permata"
111703,"Aceh","Kab. Bener Meriah","Syiah Utama"
111704,"Aceh","Kab. Bener Meriah","Bandar"
111705,"Aceh","Kab. Bener Meriah","Bukit"
111706,"Aceh","Kab. Bener Meriah","Wih Pesam"
111707,"Aceh","Kab. Bener Meriah","Timang gajah"
111708,"Aceh","Kab. Bener Meriah","Bener Kelipah"
111709,"Aceh","Kab. Bener Meriah","Mesidah"
111710,"Aceh","Kab. Bener Meriah","Gajah Putih"
111801,"Aceh","Kab. Pidie Jaya","Meureudu"
111802,"Aceh","Kab. Pidie Jaya","Ulim"
111803,"Aceh","Kab. Pidie Jaya","Jangka Buaya"
111804,"Aceh","Kab. Pidie Jaya","Bandar Dua"
111805,"Aceh","Kab. Pidie Jaya","Meurah Dua"
111806,"Aceh","Kab. Pidie Jaya","Bandar Baru"
111807,"Aceh","Kab. Pidie Jaya","Panteraja"
111808,"Aceh","Kab. Pidie Jaya","Trienggadeng"
117101,"Aceh","Kota Banda Aceh","Baiturrahman"
117102,"Aceh","Kota Banda Aceh","Kuta Alam"
117103,"Aceh","Kota Banda Aceh","Meuraxa"
117104,"Aceh","Kota Banda Aceh","Syiah Kuala"
117105,"Aceh","Kota Banda Aceh","Lueng Bata"
117106,"Aceh","Kota Banda Aceh","Kuta Raja"
117107,"Aceh","Kota Banda Aceh","Banda Raya"
117108,"Aceh","Kota Banda Aceh","Jaya Baru"
117109,"Aceh","Kota Banda Aceh","Ulee Kareng"
117201,"Aceh","Kota Sabang","Sukakarya"
117202,"Aceh","Kota Sabang","Sukajaya"
117301,"Aceh","Kota Lhokseumawe","Muara Dua"
117302,"Aceh","Kota Lhokseumawe","Banda Sakti"
117303,"Aceh","Kota Lhokseumawe","Blang Mangat"
117304,"Aceh","Kota Lhokseumawe","Muara Satu"
117401,"Aceh","Kota Langsa","Langsa Timur"
117402,"Aceh","Kota Langsa","Langsa Barat"
117403,"Aceh","Kota Langsa","Langsa Kota"
117404,"Aceh","Kota Langsa","Langsa Lama"
117405,"Aceh","Kota Langsa","Langsa Baro"
117501,"Aceh","Kota Subulussalam","Simpang Kiri"
117502,"Aceh","Kota Subulussalam","Penanggalan"
117503,"Aceh","Kota Subulussalam","Rundeng"
117504,"Aceh","Kota Subulussalam","Sultan Daulat"
117505,"Aceh","Kota Subulussalam","Longkib"
120101,"Sumatera Utara","Kab. Tapanuli Tengah","Barus"
120102,"Sumatera Utara","Kab. Tapanuli Tengah","Sorkam"
120103,"Sumatera Utara","Kab. Tapanuli Tengah","Pandan"
120104,"Sumatera Utara","Kab. Tapanuli Tengah","Pinangsori"
120105,"Sumatera Utara","Kab. Tapanuli Tengah","Manduamas"
120106,"Sumatera Utara","Kab. Tapanuli Tengah","Kolang"
120107,"Sumatera Utara","Kab. Tapanuli Tengah","Tapian Nauli"
120108,"Sumatera Utara","Kab. Tapanuli Tengah","Sibabangun"
120109,"Sumatera Utara","Kab. Tapanuli Tengah","Sosor Gadong"
120110,"Sumatera Utara","Kab. Tapanuli Tengah","Sorkam Barat"
120111,"Sumatera Utara","Kab. Tapanuli Tengah","Sirandorung"
120112,"Sumatera Utara","Kab. Tapanuli Tengah","Andam Dewi"
120113,"Sumatera Utara","Kab. Tapanuli Tengah","Sitahuis"
120114,"Sumatera Utara","Kab. Tapanuli Tengah","Tukka"
120115,"Sumatera Utara","Kab. Tapanuli Tengah","Badiri"
120116,"Sumatera Utara","Kab. Tapanuli Tengah","Pasaribu Tobing"
120117,"Sumatera Utara","Kab. Tapanuli Tengah","Barus Utara"
120118,"Sumatera Utara","Kab. Tapanuli Tengah","Suka Bangun"
120119,"Sumatera Utara","Kab. Tapanuli Tengah","Lumut"
120120,"Sumatera Utara","Kab. Tapanuli Tengah","Sarudik"
120201,"Sumatera Utara","Kab. Tapanuli Utara","Tarutung"
120202,"Sumatera Utara","Kab. Tapanuli Utara","Siatas Barita"
120203,"Sumatera Utara","Kab. Tapanuli Utara","Adian Koting"
120204,"Sumatera Utara","Kab. Tapanuli Utara","Sipoholon"
120205,"Sumatera Utara","Kab. Tapanuli Utara","Pahae Julu"
120206,"Sumatera Utara","Kab. Tapanuli Utara","Pahae Jae"
120207,"Sumatera Utara","Kab. Tapanuli Utara","Simangumban"
120208,"Sumatera Utara","Kab. Tapanuli Utara","Purba Tua"
120209,"Sumatera Utara","Kab. Tapanuli Utara","Siborong-Borong"
120210,"Sumatera Utara","Kab. Tapanuli Utara","Pagaran"
120211,"Sumatera Utara","Kab. Tapanuli Utara","Parmonangan"
120212,"Sumatera Utara","Kab. Tapanuli Utara","Sipahutar"
120213,"Sumatera Utara","Kab. Tapanuli Utara","Pangaribuan"
120214,"Sumatera Utara","Kab. Tapanuli Utara","Garoga"
120215,"Sumatera Utara","Kab. Tapanuli Utara","Muara"
120301,"Sumatera Utara","Kab. Tapanuli Selatan","Angkola Barat"
120302,"Sumatera Utara","Kab. Tapanuli Selatan","Batang Toru"
120303,"Sumatera Utara","Kab. Tapanuli Selatan","Angkola Timur"
120304,"Sumatera Utara","Kab. Tapanuli Selatan","Sipirok"
120305,"Sumatera Utara","Kab. Tapanuli Selatan","Saipar Dolok Hole"
120306,"Sumatera Utara","Kab. Tapanuli Selatan","Angkola Selatan"
120307,"Sumatera Utara","Kab. Tapanuli Selatan","Batang Angkola"
120314,"Sumatera Utara","Kab. Tapanuli Selatan","Arse"
120320,"Sumatera Utara","Kab. Tapanuli Selatan","Marancar"
120321,"Sumatera Utara","Kab. Tapanuli Selatan","Sayur Matinggi"
120322,"Sumatera Utara","Kab. Tapanuli Selatan","Aek Bilah"
120329,"Sumatera Utara","Kab. Tapanuli Selatan","Muara Batang Toru"
120330,"Sumatera Utara","Kab. Tapanuli Selatan","Tano Tombangan Angkola"
120331,"Sumatera Utara","Kab. Tapanuli Selatan","Angkola Sangkunur"
120405,"Sumatera Utara","Kab. Nias","Hiliduho"
120406,"Sumatera Utara","Kab. Nias","Gido"
120410,"Sumatera Utara","Kab. Nias","Idano Gawo"
120411,"Sumatera Utara","Kab. Nias","Bawolato"
120420,"Sumatera Utara","Kab. Nias","Hiliserangkai"
120421,"Sumatera Utara","Kab. Nias","Botomuzoi"
120427,"Sumatera Utara","Kab. Nias","Ulugawo"
120428,"Sumatera Utara","Kab. Nias","Ma'u"
120429,"Sumatera Utara","Kab. Nias","Somolo-Molo"
120435,"Sumatera Utara","Kab. Nias","Sogae'adu"
120501,"Sumatera Utara","Kab. Langkat","Bahorok"
120502,"Sumatera Utara","Kab. Langkat","Salapian"
120503,"Sumatera Utara","Kab. Langkat","Kuala"
120504,"Sumatera Utara","Kab. Langkat","Sei Bingei"
120505,"Sumatera Utara","Kab. Langkat","Binjai"
120506,"Sumatera Utara","Kab. Langkat","Selesai"
120507,"Sumatera Utara","Kab. Langkat","Stabat"
120508,"Sumatera Utara","Kab. Langkat","Wampu"
120509,"Sumatera Utara","Kab. Langkat","Secanggang"
120510,"Sumatera Utara","Kab. Langkat","Hinai"
120511,"Sumatera Utara","Kab. Langkat","Tanjung Pura"
120512,"Sumatera Utara","Kab. Langkat","Padang Tualang"
120513,"Sumatera Utara","Kab. Langkat","Gebang"
120514,"Sumatera Utara","Kab. Langkat","Babalan"
120515,"Sumatera Utara","Kab. Langkat","Pangkalan Susu"
120516,"Sumatera Utara","Kab. Langkat","Besitang"
120517,"Sumatera Utara","Kab. Langkat","Sei Lepan"
120518,"Sumatera Utara","Kab. Langkat","Brandan Barat"
120519,"Sumatera Utara","Kab. Langkat","Batang Serangan"
120520,"Sumatera Utara","Kab. Langkat","Sawit Seberang"
120521,"Sumatera Utara","Kab. Langkat","Sirapit"
120522,"Sumatera Utara","Kab. Langkat","Kutambaru"
120523,"Sumatera Utara","Kab. Langkat","Pematang Jaya"
120601,"Sumatera Utara","Kab. Karo","Kabanjahe"
120602,"Sumatera Utara","Kab. Karo","Berastagi"
120603,"Sumatera Utara","Kab. Karo","Barusjahe"
120604,"Sumatera Utara","Kab. Karo","Tigapanah"
120605,"Sumatera Utara","Kab. Karo","Merek"
120606,"Sumatera Utara","Kab. Karo","Munte"
120607,"Sumatera Utara","Kab. Karo","Juhar"
120608,"Sumatera Utara","Kab. Karo","Tigabinanga"
120609,"Sumatera Utara","Kab. Karo","Laubaleng"
120610,"Sumatera Utara","Kab. Karo","Mardingding"
120611,"Sumatera Utara","Kab. Karo","Payung"
120612,"Sumatera Utara","Kab. Karo","Simpang Empat"
120613,"Sumatera Utara","Kab. Karo","Kutabuluh"
120614,"Sumatera Utara","Kab. Karo","Dolat Rayat"
120615,"Sumatera Utara","Kab. Karo","Merdeka"
120616,"Sumatera Utara","Kab. Karo","Naman Teran"
120617,"Sumatera Utara","Kab. Karo","Tiganderket"
120701,"Sumatera Utara","Kab. Deli Serdang","Gunung Meriah"
120702,"Sumatera Utara","Kab. Deli Serdang","Tanjung Morawa"
120703,"Sumatera Utara","Kab. Deli Serdang","Sibolangit"
120704,"Sumatera Utara","Kab. Deli Serdang","Kutalimbaru"
120705,"Sumatera Utara","Kab. Deli Serdang","Pancur Batu"
120706,"Sumatera Utara","Kab. Deli Serdang","Namorambe"
120707,"Sumatera Utara","Kab. Deli Serdang","Sibiru-biru"
120708,"Sumatera Utara","Kab. Deli Serdang","STM Hilir"
120709,"Sumatera Utara","Kab. Deli Serdang","Bangun Purba"
120719,"Sumatera Utara","Kab. Deli Serdang","Galang"
120720,"Sumatera Utara","Kab. Deli Serdang","STM Hulu"
120721,"Sumatera Utara","Kab. Deli Serdang","Patumbak"
120722,"Sumatera Utara","Kab. Deli Serdang","Deli Tua"
120723,"Sumatera Utara","Kab. Deli Serdang","Sunggal"
120724,"Sumatera Utara","Kab. Deli Serdang","Hamparan Perak"
120725,"Sumatera Utara","Kab. Deli Serdang","Labuhan Deli"
120726,"Sumatera Utara","Kab. Deli Serdang","Percut Sei Tuan"
120727,"Sumatera Utara","Kab. Deli Serdang","Batang Kuis"
120728,"Sumatera Utara","Kab. Deli Serdang","Lubuk Pakam"
120731,"Sumatera Utara","Kab. Deli Serdang","Pagar Merbau"
120732,"Sumatera Utara","Kab. Deli Serdang","Pantai Labu"
120733,"Sumatera Utara","Kab. Deli Serdang","Beringin"
120801,"Sumatera Utara","Kab. Simalungun","Siantar"
120802,"Sumatera Utara","Kab. Simalungun","Gunung Malela"
120803,"Sumatera Utara","Kab. Simalungun","Gunung Maligas"
120804,"Sumatera Utara","Kab. Simalungun","Panei"
120805,"Sumatera Utara","Kab. Simalungun","Panombeian Pane"
120806,"Sumatera Utara","Kab. Simalungun","Jorlang Hataran"
120807,"Sumatera Utara","Kab. Simalungun","Raya Kahean"
120808,"Sumatera Utara","Kab. Simalungun","Bosar Maligas"
120809,"Sumatera Utara","Kab. Simalungun","Sidamanik"
120810,"Sumatera Utara","Kab. Simalungun","Pematang Sidamanik"
120811,"Sumatera Utara","Kab. Simalungun","Tanah Jawa"
120812,"Sumatera Utara","Kab. Simalungun","Hatonduhan"
120813,"Sumatera Utara","Kab. Simalungun","Dolok Panribuan"
120814,"Sumatera Utara","Kab. Simalungun","Purba"
120815,"Sumatera Utara","Kab. Simalungun","Haranggaol Horison"
120816,"Sumatera Utara","Kab. Simalungun","Girsang Sipangan Bolon"
120817,"Sumatera Utara","Kab. Simalungun","Dolok Batu Nanggar"
120818,"Sumatera Utara","Kab. Simalungun","Huta Bayu Raja"
120819,"Sumatera Utara","Kab. Simalungun","Jawa Maraja Bah Jambi"
120820,"Sumatera Utara","Kab. Simalungun","Dolok Pardamean"
120821,"Sumatera Utara","Kab. Simalungun","Pematang Bandar"
120822,"Sumatera Utara","Kab. Simalungun","Bandar Huluan"
120823,"Sumatera Utara","Kab. Simalungun","Bandar"
120824,"Sumatera Utara","Kab. Simalungun","Bandar Masilam"
120825,"Sumatera Utara","Kab. Simalungun","Silimakuta"
120826,"Sumatera Utara","Kab. Simalungun","Dolok Silau"
120827,"Sumatera Utara","Kab. Simalungun","Silou Kahean"
120828,"Sumatera Utara","Kab. Simalungun","Tapian Dolok"
120829,"Sumatera Utara","Kab. Simalungun","Raya"
120830,"Sumatera Utara","Kab. Simalungun","Ujung Padang"
120908,"Sumatera Utara","Kab. Asahan","Meranti"
120909,"Sumatera Utara","Kab. Asahan","Air Joman"
120910,"Sumatera Utara","Kab. Asahan","Tanjung Balai"
120911,"Sumatera Utara","Kab. Asahan","Sei Kepayang"
120912,"Sumatera Utara","Kab. Asahan","Simpang Empat"
120913,"Sumatera Utara","Kab. Asahan","Air Batu"
120914,"Sumatera Utara","Kab. Asahan","Pulau Rakyat"
120915,"Sumatera Utara","Kab. Asahan","Bandar Pulau"
120916,"Sumatera Utara","Kab. Asahan","Buntu Pane"
120917,"Sumatera Utara","Kab. Asahan","Bandar Pasir Mandoge"
120918,"Sumatera Utara","Kab. Asahan","Aek Kuasan"
120919,"Sumatera Utara","Kab. Asahan","Kota Kisaran Barat"
